product_id,product_name,category,current_stock,unit,reorder_point,reorder_quantity,unit_cost,lead_time_days,daily_sales_avg
P075,Idli Mix 500g,Breakfast,19,packs,10,40,58,2,2.3
P076,Dosa Mix 500g,Breakfast,22,packs,12,45,55,2,2.6
P077,Dhokla Mix 200g,Breakfast,17,packs,10,35,45,2,1.9
P078,Khaman Mix 200g,Breakfast,13,packs,8,30,42,2,1.5
P079,Pancake Mix 200g,Breakfast,10,packs,8,28,65,2,1.2
P080,Bread White 400g,Bakery,45,loaves,30,80,38,1,8.8
P081,Bread Brown 400g,Bakery,28,loaves,20,60,42,1,5.2
P082,Bread Multigrain 400g,Bakery,18,loaves,12,40,48,1,3.3
P083,Pav Buns 6pcs,Bakery,35,packs,22,70,28,1,6.5
P084,Burger Buns 4pcs,Bakery,22,packs,15,50,32,1,4.1
P085,Croissant 2pcs,Bakery,15,packs,10,35,45,1,2.7
P086,Rusk 200g,Bakery,40,packs,22,75,35,1,6.2
P087,Pasta Penne 500g,Noodles,19,packs,10,40,68,2,2.4
P088,Pasta Spaghetti 500g,Noodles,14,packs,8,35,72,2,1.8
P089,Macaroni 500g,Noodles,11,packs,8,30,58,2,1.6
P090,Instant Noodles Masala,Noodles,62,packs,35,120,14,1,12.5
P091,Rice Noodles 200g,Noodles,16,packs,10,35,48,2,2.0
P092,Egg Noodles 200g,Noodles,13,packs,8,30,52,2,1.7
P093,Tomato Soup Powder 50g,Soups,21,packs,12,45,32,2,2.5
P094,Sweet Corn Soup 50g,Soups,18,packs,10,40,32,2,2.1
P095,Chicken Soup Powder 50g,Soups,12,packs,8,30,38,2,1.5
P096,Mushroom Soup Powder 50g,Soups,9,packs,8,28,38,2,1.1
P097,Vegetable Soup Mix 50g,Soups,15,packs,10,35,28,2,1.8
P098,Coca Cola 2L,Beverages,30,bottles,20,60,88,1,5.5
P099,Pepsi 2L,Beverages,25,bottles,18,55,85,1,4.8
P100,Sprite 2L,Beverages,20,bottles,15,50,85,1,3.9
P101,7Up 2L,Beverages,18,bottles,12,45,85,1,3.4
P102,Thums Up 2L,Beverages,22,bottles,15,50,88,1,4.2
P103,Fanta Orange 2L,Beverages,15,bottles,12,40,85,1,2.9
P104,Maaza Mango 600ml,Beverages,40,bottles,25,80,38,1,7.1
P105,Frooti 200ml,Beverages,55,tetra,30,100,18,1,10.2
P106,Real Juice Apple 1L,Beverages,22,packs,15,50,75,1,3.8
P107,Tropicana Orange 1L,Beverages,18,packs,12,45,85,1,3.2
P108,Minute Maid 1L,Beverages,14,packs,10,40,78,1,2.5
P109,Green Tea 25 bags,Beverages,27,boxes,15,50,95,2,3.1
P110,Lipton Yellow 100g,Beverages,33,packs,20,65,88,2,4.0
P111,Bru Coffee 50g,Beverages,29,packs,18,60,85,2,3.5
P112,Nescafe Classic 50g,Beverages,24,packs,15,55,98,2,2.9
P113,Horlicks 500g,Health Drinks,16,jars,10,35,245,2,1.8
P114,Bournvita 500g,Health Drinks,20,jars,12,40,255,2,2.2
P115,Complan 500g,Health Drinks,11,jars,8,28,285,2,1.3
P116,Boost 500g,Health Drinks,14,jars,10,32,265,2,1.6
P117,Protinex 400g,Health Drinks,8,jars,6,20,385,3,0.8
P118,Ensure 400g,Health Drinks,6,tins,5,18,545,3,0.6
P119,Colgate Toothpaste 200g,Personal Care,38,tubes,22,75,65,2,5.5
P120,Pepsodent Toothpaste 150g,Personal Care,31,tubes,18,65,55,2,4.4
P121,Closeup Toothpaste 150g,Personal Care,24,tubes,15,55,52,2,3.3
P122,Patanjali Toothpaste 200g,Personal Care,42,tubes,25,80,45,2,6.0
P123,Oral B Toothbrush,Personal Care,50,pieces,30,100,35,2,6.8
P124,Colgate Toothbrush,Personal Care,44,pieces,25,90,32,2,5.9
P125,Dettol Soap 75g,Personal Care,55,bars,30,100,28,1,8.2
P126,Lux Soap 100g,Personal Care,48,bars,28,95,32,1,7.1
P127,Dove Soap 100g,Personal Care,35,bars,20,75,45,1,5.2
P128,Lifebuoy Soap 100g,Personal Care,60,bars,35,110,25,1,9.0
P129,Pears Soap 75g,Personal Care,29,bars,18,65,38,1,4.3
P130,Hamam Soap 100g,Personal Care,33,bars,20,70,28,1,4.8
P131,Head Shoulders Shampoo 180ml,Personal Care,22,bottles,12,45,145,2,2.8
P132,Pantene Shampoo 180ml,Personal Care,18,bottles,10,40,155,2,2.3
P133,Sunsilk Shampoo 180ml,Personal Care,25,bottles,15,50,125,2,3.1
P134,Clinic Plus Shampoo 180ml,Personal Care,30,bottles,18,60,95,2,3.8
P135,Dove Conditioner 180ml,Personal Care,15,bottles,10,35,165,2,1.9
P136,Parachute Coconut Oil 200ml,Personal Care,40,bottles,22,75,68,2,5.1
P137,Garnier Face Wash 100ml,Personal Care,19,tubes,12,40,145,2,2.4
P138,Ponds Face Wash 100ml,Personal Care,16,tubes,10,35,125,2,2.0
P139,Dettol Handwash 200ml,Personal Care,34,bottles,20,65,85,1,4.9
P140,Lifebuoy Handwash 200ml,Personal Care,28,bottles,18,58,75,1,4.0
P141,Surf Excel 1kg,Household,27,packs,15,50,115,2,3.2
P142,Ariel 1kg,Household,22,packs,12,45,125,2,2.7
P143,Tide 1kg,Household,30,packs,18,55,95,2,3.7
P144,Rin Detergent 1kg,Household,35,packs,20,65,72,2,4.5
P145,Vim Dishwash Bar 300g,Household,42,bars,25,80,32,1,5.8
P146,Pril Liquid 500ml,Household,25,bottles,15,50,85,2,3.1
P147,Colin Glass Cleaner 500ml,Household,18,bottles,10,35,95,2,2.2
P148,Harpic Toilet Cleaner 500ml,Household,21,bottles,12,40,88,2,2.6
P149,Lizol Floor Cleaner 500ml,Household,17,bottles,10,35,115,2,2.0
P150,Domex Bleach 500ml,Household,14,bottles,8,30,68,2,1.7
P151,Good Knight Coils 10pcs,Household,38,boxes,22,70,45,2,4.8
P152,Mortein Spray 200ml,Household,22,cans,12,45,125,2,2.7
P153,HIT Cockroach Spray 200ml,Household,19,cans,10,40,115,2,2.3
P154,Odonil Air Freshener 50g,Household,28,packs,15,55,48,2,3.2
P155,Phenyl White 500ml,Household,16,bottles,10,35,42,2,1.9
P156,Tomatoes 1kg,Vegetables,20,kg,15,30,35,1,5.5
P157,Onions 1kg,Vegetables,35,kg,20,40,28,1,7.8
P158,Potatoes 1kg,Vegetables,40,kg,25,50,25,1,8.5
P159,Garlic 250g,Vegetables,22,packs,12,35,38,1,4.2
P160,Ginger 250g,Vegetables,18,packs,10,30,42,1,3.5
P161,Green Peas Frozen 500g,Frozen,15,packs,10,30,68,1,2.8
P162,Sweet Corn Frozen 500g,Frozen,12,packs,8,25,62,1,2.2
P163,Mixed Vegetables Frozen 500g,Frozen,10,packs,8,25,72,1,1.9
P164,French Fries Frozen 500g,Frozen,18,packs,10,30,95,1,3.1
P165,Fish Fingers Frozen 300g,Frozen,9,packs,6,20,145,1,1.5
P166,Britannia Cake 60g,Bakery,65,pieces,40,120,18,1,11.5
P167,Magnum Ice Cream Bar,Frozen,14,pieces,10,30,85,1,2.8
P168,Kwality Walls Vanilla 750ml,Frozen,11,tubs,8,22,185,1,1.8
P169,Mother Dairy Ice Cream 500ml,Frozen,16,tubs,10,28,125,1,2.5
P170,Amul Ice Cream Stick,Frozen,30,pieces,20,60,22,1,6.5
P171,Fevicol 50g,Stationery,25,tubes,12,40,28,3,2.2
P172,Whitener Fluid 20ml,Stationery,35,bottles,18,60,22,2,4.0
P173,Ballpoint Pens Blue 10pcs,Stationery,40,boxes,20,65,48,2,4.5
P174,Pencils HB 10pcs,Stationery,30,boxes,15,55,28,2,3.2
P175,A4 Paper 500 sheets,Stationery,18,reams,10,30,245,3,1.8
P176,Stapler Pins 1000pcs,Stationery,22,boxes,12,35,32,3,2.0
P177,Cello Tape 1 inch,Stationery,28,rolls,15,50,18,2,3.5
P178,Rubber Bands 100g,Stationery,20,packs,10,35,22,2,2.1
P179,Sanitizer 200ml,Health,32,bottles,18,60,65,1,4.5
P180,Dettol Antiseptic 100ml,Health,25,bottles,14,50,88,2,3.0
P181,Bandaid 10pcs,Health,40,boxes,22,75,32,2,4.8
P182,Vicks VapoRub 25g,Health,28,jars,15,52,85,2,3.2
P183,Eno Fruit Salt 30g,Health,35,packs,20,65,28,1,5.0
P184,Glucon D Orange 100g,Health,22,packs,12,45,38,1,3.5
P185,ORS Sachets 5pcs,Health,18,packs,10,38,42,2,2.3
P186,Thermometer Digital,Health,8,pieces,5,15,185,4,0.6
P187,Pulse Oximeter,Health,5,pieces,3,10,545,5,0.3
P188,Surgical Masks 10pcs,Health,30,boxes,18,55,48,1,4.2
P189,Nitrile Gloves 100pcs,Health,14,boxes,8,25,185,2,1.5
P190,Cotton Rolls 100g,Health,20,rolls,12,38,42,2,2.5
P191,Amul Butter 500g,Dairy,19,packs,10,35,245,1,2.8
P192,Amul Cheese Block 200g,Dairy,13,packs,8,28,125,1,2.1
P193,Amul Lassi 200ml,Dairy,35,bottles,22,70,28,1,6.8
P194,Nestle Milkmaid 400g,Dairy,16,tins,10,32,88,2,2.0
P195,Patanjali Honey 500g,Health,12,bottles,8,25,185,3,1.4
P196,Dabur Honey 500g,Health,10,bottles,6,22,195,3,1.2
P197,Chyawanprash 500g,Health,9,jars,6,20,245,3,0.9
P198,Isabgol 100g,Health,14,packs,8,28,68,3,1.5
P199,Hajmola Candy 25pcs,Health,45,packs,25,80,22,1,7.2
P200,Pudin Hara 30ml,Health,32,bottles,18,58,45,2,4.1
